NACA 0024
    1.000000       0.000000    
   0.9880838      0.5858637E-02
   0.9708238      0.1056189E-01
   0.9500369      0.1612146E-01
   0.9251316      0.2260316E-01
   0.8959709      0.2995536E-01
   0.8630740      0.3795563E-01
   0.8274404      0.4628313E-01
   0.7901093      0.5464038E-01
   0.7518722      0.6281583E-01
   0.7132464      0.7067634E-01
   0.6745595      0.7813688E-01
   0.6360318      0.8513624E-01
   0.5978289      0.9162333E-01
   0.5600892      0.9755076E-01
   0.5229383      0.1028727    
   0.4864961      0.1075445    
   0.4508802      0.1115243    
   0.4162092      0.1147740    
   0.3826047      0.1172617    
   0.3501926      0.1189645    
   0.3191040      0.1198711    
   0.2894736      0.1199854    
   0.2614343      0.1193291    
   0.2351085      0.1179441    
   0.2105957      0.1158918    
   0.1879585      0.1132506    
   0.1672133      0.1101092    
   0.1483265      0.1065596    
   0.1312195      0.1026892    
   0.1157791      0.9857504E-01
   0.1018712      0.9428089E-01
   0.8935363E-01  0.8985621E-01
   0.7808642E-01  0.8533729E-01
   0.6793872E-01  0.8074920E-01
   0.5879281E-01  0.7610803E-01
   0.5054569E-01  0.7142299E-01
   0.4310922E-01  0.6669826E-01
   0.3640946E-01  0.6193455E-01
   0.3038569E-01  0.5713052E-01
   0.2498904E-01  0.5228394E-01
   0.2018119E-01  0.4739286E-01
   0.1593281E-01  0.4245675E-01
   0.1222201E-01  0.3747752E-01
   0.9032396E-02  0.3246059E-01
   0.6350900E-02  0.2741567E-01
   0.4165379E-02  0.2235711E-01
   0.2462148E-02  0.1730376E-01
   0.1223773E-02  0.1227788E-01
   0.4278283E-03  0.7304510E-02
   0.4592412E-04  0.2407246E-02
   0.4592412E-04 -0.2407246E-02
   0.4278283E-03 -0.7304510E-02
   0.1223773E-02 -0.1227788E-01
   0.2462148E-02 -0.1730376E-01
   0.4165379E-02 -0.2235711E-01
   0.6350900E-02 -0.2741567E-01
   0.9032396E-02 -0.3246059E-01
   0.1222201E-01 -0.3747752E-01
   0.1593281E-01 -0.4245675E-01
   0.2018119E-01 -0.4739286E-01
   0.2498904E-01 -0.5228394E-01
   0.3038569E-01 -0.5713052E-01
   0.3640946E-01 -0.6193455E-01
   0.4310922E-01 -0.6669826E-01
   0.5054569E-01 -0.7142299E-01
   0.5879281E-01 -0.7610803E-01
   0.6793872E-01 -0.8074920E-01
   0.7808642E-01 -0.8533729E-01
   0.8935363E-01 -0.8985621E-01
   0.1018712     -0.9428089E-01
   0.1157791     -0.9857504E-01
   0.1312195     -0.1026892    
   0.1483265     -0.1065596    
   0.1672133     -0.1101092    
   0.1879585     -0.1132506    
   0.2105957     -0.1158918    
   0.2351085     -0.1179441    
   0.2614343     -0.1193291    
   0.2894736     -0.1199854    
   0.3191040     -0.1198711    
   0.3501926     -0.1189645    
   0.3826047     -0.1172617    
   0.4162092     -0.1147740    
   0.4508802     -0.1115243    
   0.4864961     -0.1075445    
   0.5229383     -0.1028727    
   0.5600892     -0.9755076E-01
   0.5978289     -0.9162333E-01
   0.6360318     -0.8513624E-01
   0.6745595     -0.7813688E-01
   0.7132464     -0.7067634E-01
   0.7518722     -0.6281583E-01
   0.7901093     -0.5464038E-01
   0.8274404     -0.4628313E-01
   0.8630740     -0.3795563E-01
   0.8959709     -0.2995536E-01
   0.9251316     -0.2260316E-01
   0.9500369     -0.1612146E-01
   0.9708238     -0.1056189E-01
   0.9880838     -0.5858637E-02
    1.000000       0.000000    
